Date,Ticker,Open,High,Low,Close,Volume
2021-01-08,STCKA,569.13,570.1,563.73,568.68,3290803
2021-01-11,STCKA,572.32,574.56,569.4,570.81,815547
2021-01-12,STCKA,575.3,578.1,568.81,572.77,3421764
2021-01-13,STCKA,572.0,573.3,570.08,571.68,2542360
2021-01-14,STCKA,569.66,572.62,566.24,568.89,3439884
2021-01-15,STCKA,564.58,571.11,560.52,567.77,2980564
2021-01-18,STCKA,566.37,573.27,562.82,568.04,3754447
2021-01-19,STCKA,575.02,578.86,569.88,575.25,1214923
2021-01-20,STCKA,563.87,571.39,560.13,565.79,3700795
2021-01-21,STCKA,572.88,572.91,569.11,571.96,344069
2021-01-22,STCKA,570.34,573.61,564.57,569.35,2223225
2021-01-25,STCKA,575.61,578.42,570.53,574.51,1686741
2021-01-26,STCKA,572.85,572.91,569.01,571.57,1493860
2021-01-27,STCKA,575.12,579.46,574.73,577.41,2823579
2021-01-28,STCKA,566.87,570.71,560.59,566.18,4711014
2021-01-29,STCKA,566.75,567.21,565.0,565.51,1762255
2021-02-01,STCKA,576.72,584.56,571.59,579.71,3390296
2021-02-02,STCKA,587.53,589.48,582.06,585.7,154080
2021-02-03,STCKA,579.2,580.78,574.24,579.84,2460101
2021-02-04,STCKA,574.11,577.73,573.7,575.16,635545
2021-02-05,STCKA,565.76,571.18,563.23,563.47,3421355
2021-02-08,STCKA,560.6,562.17,553.05,557.72,2236866
2021-02-09,STCKA,547.67,552.8,546.73,549.87,1604194
2021-02-10,STCKA,549.19,554.05,545.42,551.73,4386826
2021-02-11,STCKA,550.45,555.48,549.15,549.84,4211897
2021-02-12,STCKA,560.66,563.66,556.02,560.78,1715840
2021-02-15,STCKA,570.44,575.54,567.14,568.18,4602960
2021-02-16,STCKA,567.33,572.68,561.45,565.04,4514666
2021-02-17,STCKA,566.16,568.29,564.7,565.83,3778729
2021-02-18,STCKA,578.18,578.61,572.21,575.49,2131179
2021-02-19,STCKA,577.54,579.48,572.41,576.23,4674463
2021-02-22,STCKA,577.55,579.19,573.71,576.82,1968819
2021-02-23,STCKA,560.03,564.7,559.83,561.16,1724164
2021-02-24,STCKA,551.84,553.25,547.03,550.53,2982725
2021-02-25,STCKA,553.23,555.25,552.4,553.06,170098
2021-02-26,STCKA,563.45,566.16,561.98,563.46,4653503
2021-03-01,STCKA,558.57,562.58,554.46,559.31,4234659
2021-03-02,STCKA,560.35,562.69,556.48,558.17,1944095
2021-03-03,STCKA,562.31,565.05,558.45,561.19,282467
2021-03-04,STCKA,563.01,564.55,556.31,556.57,4286205
2021-03-05,STCKA,566.73,569.89,564.14,566.28,2739108
2021-03-08,STCKA,560.42,563.72,557.85,559.49,1947601
2021-03-09,STCKA,565.58,570.83,562.97,565.04,719712
2021-03-10,STCKA,562.99,569.88,558.78,566.65,4546449
2021-03-11,STCKA,573.06,575.97,570.84,572.53,322576
2021-03-12,STCKA,570.17,578.18,567.62,574.1,2446490
2021-03-15,STCKA,571.93,579.56,566.31,575.93,3850173
2021-03-16,STCKA,579.3,584.51,573.37,575.76,4133921
2021-03-17,STCKA,571.42,585.42,568.71,579.79,579677
2021-03-18,STCKA,567.15,567.36,562.36,566.92,4188760
2021-03-19,STCKA,586.09,586.2,581.43,584.53,105723
2021-03-22,STCKA,599.37,600.01,594.81,599.38,1106711
2021-03-23,STCKA,608.9,616.03,606.39,610.64,4698094
2021-03-24,STCKA,602.36,606.69,597.79,600.19,4754490
2021-03-25,STCKA,598.01,607.11,593.36,601.27,2735481
2021-03-26,STCKA,612.63,616.4,604.9,609.71,4717052
2021-03-29,STCKA,603.27,613.6,598.21,608.24,3306635
2021-03-30,STCKA,618.57,622.68,616.62,620.57,3017058
2021-03-31,STCKA,612.0,614.97,604.51,608.86,564460
2021-04-01,STCKA,617.17,618.41,610.97,614.71,4114525
2021-04-02,STCKA,624.11,628.55,619.91,620.95,1759478
2021-04-05,STCKA,628.41,636.79,624.49,630.69,3670792
2021-04-06,STCKA,621.65,627.6,618.8,625.83,1030122
2021-04-07,STCKA,623.88,624.56,618.88,624.43,1263284
2021-04-08,STCKA,615.56,620.2,612.34,614.05,1987834
2021-04-09,STCKA,614.52,620.31,608.69,612.48,4470648
2021-04-12,STCKA,615.11,615.66,613.92,613.96,4711182
2021-04-13,STCKA,615.64,620.33,605.05,609.62,2335021
2021-04-14,STCKA,592.31,599.74,591.7,595.81,2221154
2021-04-15,STCKA,602.03,608.05,601.41,604.14,2524325
2021-04-16,STCKA,602.08,607.56,600.12,600.54,4393729
2021-04-19,STCKA,598.3,604.35,595.65,600.18,628719
2021-04-20,STCKA,598.29,602.06,592.27,592.28,4668784
2021-04-21,STCKA,589.51,599.12,583.81,593.32,4076079
2021-04-22,STCKA,580.31,583.31,576.58,578.38,3479394
2021-04-23,STCKA,586.74,591.51,581.17,582.46,3279373
2021-04-26,STCKA,574.53,577.54,569.33,574.24,978208
2021-04-27,STCKA,564.03,576.06,559.6,570.6,3589759
2021-04-28,STCKA,580.34,585.7,574.03,577.54,2450211
2021-04-29,STCKA,586.21,590.48,580.6,582.36,1857218
2021-04-30,STCKA,578.26,580.14,571.68,576.19,3853760
2021-05-03,STCKA,580.94,584.37,574.72,575.92,4715990
2021-05-04,STCKA,569.85,569.92,562.18,564.68,103958
2021-05-05,STCKA,560.1,570.98,556.46,567.36,4371965
2021-05-06,STCKA,590.34,595.73,583.6,588.97,3690309
2021-05-07,STCKA,591.58,598.0,588.23,596.29,4946018
2021-05-10,STCKA,601.18,606.01,596.89,601.9,1766195
2021-05-11,STCKA,584.7,588.59,578.3,583.72,4785889
2021-05-12,STCKA,580.57,580.94,574.25,577.85,478960
2021-05-13,STCKA,575.45,576.36,571.88,572.1,2715079
2021-05-14,STCKA,570.33,571.61,566.24,571.23,4062563
2021-05-17,STCKA,572.14,579.82,569.52,577.24,3220746
2021-05-18,STCKA,577.61,578.28,573.47,576.09,3957961
2021-05-19,STCKA,581.44,589.36,577.57,584.93,3826750
2021-05-20,STCKA,593.21,601.16,587.77,596.06,3244621
2021-05-21,STCKA,601.48,605.94,596.46,605.44,198401
2021-05-24,STCKA,614.51,615.79,610.47,614.06,4228992
2021-05-25,STCKA,626.03,628.82,620.34,624.47,2825240
2021-05-26,STCKA,618.66,622.45,617.59,620.01,755780
2021-05-27,STCKA,619.01,622.32,615.26,619.43,4984698
2021-05-28,STCKA,626.15,628.32,619.68,621.79,4036419
2021-05-31,STCKA,607.95,610.77,601.21,606.52,3254627
2021-06-01,STCKA,609.99,611.02,605.61,611.0,4227906
2021-06-02,STCKA,608.04,610.47,604.67,605.93,3006665
2021-06-03,STCKA,617.65,620.92,613.15,615.87,3360616
2021-06-04,STCKA,612.67,616.53,610.79,613.05,3160733
2021-06-07,STCKA,615.6,620.33,614.95,617.0,1176588
2021-06-08,STCKA,626.19,630.87,621.32,626.07,2323000
2021-06-09,STCKA,625.98,629.38,620.03,623.39,4735334
2021-06-10,STCKA,626.01,626.41,624.17,625.63,4067919
2021-06-11,STCKA,630.86,636.13,626.13,629.3,4611283
2021-06-14,STCKA,619.88,624.14,619.09,621.75,1940082
2021-06-15,STCKA,634.63,639.6,626.23,630.58,2408252
2021-06-16,STCKA,614.73,617.74,610.09,611.6,3518753
2021-06-17,STCKA,613.25,619.34,612.45,614.15,757522
2021-06-18,STCKA,626.62,631.54,621.2,627.97,3139148
2021-06-21,STCKA,629.47,639.36,625.99,633.41,2895291
2021-06-22,STCKA,637.26,637.56,632.39,636.84,1098920
2021-06-23,STCKA,620.13,632.13,617.94,628.29,2212250
2021-06-24,STCKA,630.14,630.77,623.35,629.63,1932911
2021-06-25,STCKA,651.8,656.67,641.65,646.86,382070
2021-06-28,STCKA,646.58,655.94,640.37,650.99,3365518
2021-06-29,STCKA,644.62,650.7,635.78,641.94,4034326
2021-06-30,STCKA,645.43,650.73,638.19,643.5,738791
2021-07-01,STCKA,650.34,656.63,647.95,649.05,883435
2021-07-02,STCKA,659.94,662.02,656.06,658.76,3164799
2021-07-05,STCKA,642.97,651.83,641.56,647.58,2212109
2021-07-06,STCKA,633.83,638.63,630.9,632.94,1299916
2021-07-07,STCKA,619.95,626.2,617.22,622.84,457990
2021-07-08,STCKA,628.69,629.68,618.12,624.18,1243895
2021-07-09,STCKA,622.54,622.96,616.5,620.49,4424662
2021-07-12,STCKA,612.4,614.19,607.61,613.1,1941088
2021-07-13,STCKA,628.84,634.03,624.49,627.94,2611292
2021-07-14,STCKA,611.43,611.81,607.91,611.39,3170297
2021-07-15,STCKA,614.86,615.53,605.84,610.97,470622
2021-07-16,STCKA,608.65,610.37,602.6,606.57,295859
2021-07-19,STCKA,597.38,597.5,583.3,588.1,4520165
2021-07-20,STCKA,589.13,592.26,582.17,587.8,868319
2021-07-21,STCKA,612.23,614.82,609.58,612.49,4288307
2021-07-22,STCKA,612.9,618.71,611.82,614.72,4178941
2021-07-23,STCKA,613.65,617.96,603.82,608.5,3268348
2021-07-26,STCKA,608.49,612.31,602.27,604.6,286010
2021-07-27,STCKA,613.6,616.64,605.32,610.63,1821019
2021-07-28,STCKA,593.52,602.43,592.89,597.74,2555087
2021-07-29,STCKA,606.06,607.76,602.61,606.05,1755069
2021-07-30,STCKA,610.13,614.86,600.91,605.76,4109232
2021-08-02,STCKA,606.09,606.1,600.94,604.78,2346110
2021-08-03,STCKA,612.41,618.49,611.08,616.73,3978497
2021-08-04,STCKA,623.36,630.41,622.6,626.27,3972422
2021-08-05,STCKA,622.42,627.81,615.4,617.41,4709964
2021-08-06,STCKA,612.91,617.65,610.18,612.15,2089364
2021-08-09,STCKA,618.32,620.34,614.07,617.72,651481
2021-08-10,STCKA,623.41,628.3,615.86,621.61,4753315
2021-08-11,STCKA,627.23,631.97,621.9,625.39,4880194
2021-08-12,STCKA,626.25,632.75,625.38,628.01,3198567
2021-08-13,STCKA,614.03,620.86,611.7,617.41,2788762
2021-08-16,STCKA,612.92,617.98,609.98,617.69,1243746
2021-08-17,STCKA,615.43,622.22,610.7,620.13,2111398
2021-08-18,STCKA,630.9,633.11,627.76,631.04,4015074
2021-08-19,STCKA,626.25,629.75,620.62,624.17,3041072
2021-08-20,STCKA,614.61,619.92,609.68,616.59,2271015
2021-08-23,STCKA,612.77,622.69,608.05,618.35,2665733
2021-08-24,STCKA,620.76,626.8,617.65,624.37,737657
2021-08-25,STCKA,629.31,637.25,624.9,632.29,809377
2021-08-26,STCKA,626.94,637.73,622.65,631.87,391593
2021-08-27,STCKA,643.37,647.61,642.84,645.42,786238
2021-08-30,STCKA,652.88,658.87,649.4,653.08,2277849
2021-08-31,STCKA,667.64,674.73,662.19,668.49,4580396
2021-09-01,STCKA,668.85,673.93,668.15,668.87,3784800
2021-09-02,STCKA,682.08,691.69,680.37,690.58,4084606
2021-09-03,STCKA,700.91,709.67,698.79,702.99,1072313
2021-09-06,STCKA,687.8,691.64,686.42,686.84,2889890
2021-09-07,STCKA,689.75,696.0,685.73,690.19,2981941
2021-09-08,STCKA,690.57,695.76,688.07,689.67,3424181
2021-09-09,STCKA,697.41,697.59,695.2,696.21,967599
2021-09-10,STCKA,692.41,694.84,684.92,687.89,3804908
2021-09-13,STCKA,696.38,698.32,690.88,697.08,1915252
2021-09-14,STCKA,700.57,703.12,693.57,698.49,3696053
2021-09-15,STCKA,704.65,709.5,699.05,708.67,4863979
2021-09-16,STCKA,715.59,723.35,715.54,717.7,4773700
2021-09-17,STCKA,720.35,728.5,718.65,722.05,4242726
2021-09-20,STCKA,723.29,733.9,720.11,728.34,4367750
2021-09-21,STCKA,720.17,729.29,718.23,725.41,4948338
2021-09-22,STCKA,721.04,722.44,715.23,720.36,2277561
2021-09-23,STCKA,726.74,733.76,725.02,730.14,1965709
2021-09-24,STCKA,709.34,714.33,701.78,704.15,3530902
2021-09-27,STCKA,698.08,702.06,690.36,697.13,973999
2021-09-28,STCKA,689.73,695.65,688.13,688.4,1026794
2021-09-29,STCKA,691.68,695.63,687.69,692.02,1446539
2021-09-30,STCKA,688.57,695.26,685.24,686.52,3915290
2021-10-01,STCKA,691.11,696.2,683.59,689.54,747754
2021-10-04,STCKA,689.31,691.77,682.9,686.36,1526935
2021-10-05,STCKA,693.98,698.65,688.44,697.64,3738810
2021-10-06,STCKA,700.35,704.51,693.83,698.79,2896781
2021-10-07,STCKA,698.52,705.21,697.02,698.53,798067
2021-10-08,STCKA,681.09,690.73,675.15,689.07,2774607
2021-10-11,STCKA,675.78,679.34,671.82,673.4,1253384
2021-10-12,STCKA,668.14,672.21,667.48,670.43,2413124
2021-10-13,STCKA,669.15,674.07,667.77,673.09,4854587
2021-10-14,STCKA,666.05,670.35,662.92,665.19,816808
2021-10-15,STCKA,681.5,683.26,673.97,676.83,2863193
2021-10-18,STCKA,678.63,680.45,670.95,671.55,2662315
2021-10-19,STCKA,672.76,677.4,666.06,668.47,2994216
2021-10-20,STCKA,663.66,664.29,656.6,661.02,4560614
2021-10-21,STCKA,666.88,667.88,664.22,664.41,1336677
2021-10-22,STCKA,667.22,675.75,666.11,669.56,4511320
2021-10-25,STCKA,663.49,664.69,661.62,662.33,263972
2021-10-26,STCKA,662.01,664.8,659.62,661.85,3400725
2021-10-27,STCKA,657.47,658.49,651.7,654.28,1734832
2021-10-28,STCKA,653.52,654.05,644.92,651.11,2907459
2021-10-29,STCKA,656.97,660.9,651.23,656.23,2070287
2021-11-01,STCKA,660.37,662.9,659.59,662.21,1893120
2021-11-02,STCKA,657.44,659.88,654.88,654.95,4401188
2021-11-03,STCKA,637.92,645.25,637.53,641.68,3162532
2021-11-04,STCKA,636.55,644.55,635.83,641.22,3513905
2021-11-05,STCKA,621.19,626.5,613.06,619.09,691529
2021-11-08,STCKA,619.65,620.7,614.07,617.76,4296336
2021-11-09,STCKA,606.26,609.07,601.85,608.61,113296
2021-11-10,STCKA,627.82,630.66,622.89,628.41,204541
2021-11-11,STCKA,632.83,632.85,626.05,631.28,1318865
2021-11-12,STCKA,627.06,631.93,622.49,627.81,1189573
2021-11-15,STCKA,637.43,638.54,628.05,632.22,770917
2021-11-16,STCKA,638.4,641.46,634.93,637.93,3793276
2021-11-17,STCKA,623.4,629.66,622.82,623.54,1167227
2021-11-18,STCKA,618.12,624.18,613.89,620.86,4187416
2021-11-19,STCKA,623.71,626.49,621.7,623.5,151870
2021-11-22,STCKA,618.24,619.35,613.96,617.14,3643284
2021-11-23,STCKA,616.48,617.97,609.91,615.23,1806731
2021-11-24,STCKA,613.62,616.67,610.59,614.98,4681324
2021-11-25,STCKA,600.8,609.45,600.46,603.96,3214159
2021-11-26,STCKA,603.01,603.64,599.5,599.59,3345558
2021-11-29,STCKA,607.26,609.75,602.3,607.08,2960213
2021-11-30,STCKA,614.12,619.4,614.06,614.88,3928014
2021-12-01,STCKA,620.8,627.39,620.03,622.68,2027092
2021-12-02,STCKA,623.57,629.62,615.55,620.55,2317615
2021-12-03,STCKA,632.38,635.11,632.06,634.29,662172
2021-12-06,STCKA,623.25,629.04,612.47,618.55,4917095
2021-12-07,STCKA,619.36,620.04,614.14,615.66,2649196
2021-12-08,STCKA,612.18,614.11,611.29,613.36,4362376
2021-12-09,STCKA,603.08,609.17,599.01,606.75,2153424
2021-12-10,STCKA,608.56,611.49,606.23,607.04,2065437
2021-12-13,STCKA,608.0,612.53,607.66,608.52,4382413
2021-12-14,STCKA,609.52,609.84,607.67,609.29,1496779
2021-12-15,STCKA,606.9,608.71,601.94,608.08,4160504
2021-12-16,STCKA,609.07,614.95,608.25,610.37,2690510
2021-12-17,STCKA,611.65,616.42,606.97,612.19,4926507
2021-12-20,STCKA,616.48,621.68,615.99,618.11,1173023
2021-12-21,STCKA,621.3,623.77,617.01,617.79,4073916
2021-12-22,STCKA,612.88,614.4,608.62,613.68,1341441
2021-12-23,STCKA,606.49,607.18,601.52,605.45,675909
2021-12-24,STCKA,611.71,615.33,607.06,609.64,4739061
2021-12-27,STCKA,605.43,611.4,600.35,608.87,2751662
2021-12-28,STCKA,625.01,629.78,613.9,619.04,4517190
2021-12-29,STCKA,614.09,617.99,609.37,616.44,1471285
2021-12-30,STCKA,620.52,624.16,615.13,621.5,1963857
2021-12-31,STCKA,613.83,614.96,609.13,613.92,3520293
2022-01-03,STCKA,614.4,619.33,610.33,614.71,4486808
2022-01-04,STCKA,612.09,617.25,611.93,613.24,1541943
2022-01-05,STCKA,616.53,621.77,613.79,617.91,3510633
2022-01-06,STCKA,611.25,622.22,610.31,618.86,1383271
2022-01-07,STCKA,610.93,617.25,608.81,612.7,2513544
2022-01-10,STCKA,618.14,620.67,612.01,618.67,4533725
2022-01-11,STCKA,620.46,627.63,615.69,622.58,3261727
2022-01-12,STCKA,624.58,629.32,621.31,624.17,507500
2022-01-13,STCKA,622.04,624.5,619.49,622.63,688237
2022-01-14,STCKA,640.47,646.48,639.64,640.02,3807353
2022-01-17,STCKA,643.07,646.09,634.32,640.0,105757
2022-01-18,STCKA,639.85,645.36,631.0,633.06,2495857
2022-01-19,STCKA,648.84,653.1,642.3,647.11,1256666
2022-01-20,STCKA,631.98,632.62,629.91,632.12,3226791
2022-01-21,STCKA,641.97,646.83,635.36,639.76,1161384
2022-01-24,STCKA,640.26,642.35,633.56,635.43,4477070
2022-01-25,STCKA,647.97,653.14,640.41,643.65,401705
2022-01-26,STCKA,627.01,628.65,623.66,628.29,4208514
2022-01-27,STCKA,612.74,617.16,610.73,615.98,2747662
2022-01-28,STCKA,622.15,626.23,617.59,619.18,2217465
2022-01-31,STCKA,625.13,627.96,619.75,622.1,265353
2022-02-01,STCKA,637.84,639.5,632.56,632.82,3462247
2022-02-02,STCKA,642.63,644.6,636.3,640.57,732839
2022-02-03,STCKA,634.62,642.18,631.7,640.69,4488763
2022-02-04,STCKA,659.88,666.43,651.18,655.72,4377095
2022-02-07,STCKA,650.25,655.61,645.18,652.49,1834055
2022-02-08,STCKA,664.84,670.9,660.35,664.33,1004095
2022-02-09,STCKA,668.36,671.24,658.89,663.34,4916302
2022-02-10,STCKA,659.94,669.78,655.13,664.27,903113
2022-02-11,STCKA,666.77,667.72,658.84,661.62,1902636
2022-02-14,STCKA,647.91,653.54,643.58,649.69,380220
2022-02-15,STCKA,652.38,653.65,646.59,651.39,4107740
2022-02-16,STCKA,636.5,647.34,635.05,644.44,4741530
2022-02-17,STCKA,630.36,631.7,628.45,629.64,580882
2022-02-18,STCKA,614.4,625.14,613.55,622.61,1927812
2022-02-21,STCKA,631.64,635.24,630.62,632.0,3201258
2022-02-22,STCKA,641.78,645.95,636.42,642.1,229693
2022-02-23,STCKA,645.69,646.7,638.55,640.67,3970687
2022-02-24,STCKA,641.95,643.82,635.68,642.05,4606551
2022-02-25,STCKA,652.32,658.85,651.26,654.7,1369524
2022-02-28,STCKA,656.61,662.38,654.54,656.9,3871829
2022-03-01,STCKA,653.77,659.29,650.88,652.89,4464953
2022-03-02,STCKA,656.43,656.47,648.34,652.12,344129
2022-03-03,STCKA,644.03,651.15,642.32,646.77,570012
2022-03-04,STCKA,633.48,639.94,629.72,636.8,2897522
2022-03-07,STCKA,630.43,634.75,628.22,630.86,3398838
2022-03-08,STCKA,644.15,649.87,633.05,638.15,1214942
2022-03-09,STCKA,640.28,643.9,639.61,643.25,3328837
2022-03-10,STCKA,643.18,644.32,633.95,639.0,2611647
2022-03-11,STCKA,637.47,642.65,634.54,642.01,4121136
2022-03-14,STCKA,643.32,645.09,641.24,644.09,1856144
2022-03-15,STCKA,653.59,657.64,649.96,656.48,1631742
2022-03-16,STCKA,665.89,671.86,664.11,668.07,1261276
2022-03-17,STCKA,670.52,675.03,665.16,669.37,2192877
2022-03-18,STCKA,680.33,684.7,677.87,679.57,3677068
2022-03-21,STCKA,686.79,694.18,681.83,688.98,4407315
2022-03-22,STCKA,696.01,699.82,691.23,698.34,3474775
2022-03-23,STCKA,706.62,710.72,704.53,708.44,3942119
2022-03-24,STCKA,711.37,718.24,710.36,711.17,3156585
2022-03-25,STCKA,711.65,716.74,706.38,708.97,357989
2022-03-28,STCKA,706.29,717.07,701.24,710.9,2077456
2022-03-29,STCKA,718.81,723.01,714.89,719.49,1391097
2022-03-30,STCKA,704.16,705.07,697.89,702.89,1773633
2022-03-31,STCKA,694.08,702.2,692.85,697.68,883536
2022-04-01,STCKA,685.66,700.88,684.49,694.03,4098456
2022-04-04,STCKA,679.06,684.2,670.08,673.52,2460334
2022-04-05,STCKA,680.37,682.59,672.77,678.58,4088144
2022-04-06,STCKA,679.36,682.61,673.71,678.9,3993708
2022-04-07,STCKA,666.73,676.65,665.46,674.66,630801
2022-04-08,STCKA,682.93,683.86,679.74,679.97,1542113
2022-04-11,STCKA,690.46,695.93,683.03,687.5,3427024
2022-04-12,STCKA,673.3,677.91,672.5,675.08,1117209
2022-04-13,STCKA,695.06,695.47,685.09,690.24,1015209
2022-04-14,STCKA,696.23,700.87,695.69,696.09,2128495
2022-04-15,STCKA,697.24,701.11,695.22,697.25,3519592
2022-04-18,STCKA,693.71,694.01,688.17,691.33,524571
2022-04-19,STCKA,702.87,707.41,702.58,704.6,2914108
2022-04-20,STCKA,698.46,706.97,697.06,700.84,3674329
2022-04-21,STCKA,708.29,710.95,700.32,706.59,2788862
2022-04-22,STCKA,711.68,716.31,709.28,709.7,3479303
2022-04-25,STCKA,712.95,717.22,707.81,716.67,2423224
2022-04-26,STCKA,718.79,726.52,713.96,720.3,2039795
2022-04-27,STCKA,711.63,715.07,702.89,707.58,4760970
2022-04-28,STCKA,704.9,708.23,699.66,704.38,753737
2022-04-29,STCKA,701.69,707.92,694.7,700.77,2022099
2022-05-02,STCKA,703.66,710.37,693.86,699.64,4677550
2022-05-03,STCKA,701.06,707.07,696.78,699.99,3351422
2022-05-04,STCKA,697.85,698.16,690.21,695.81,1616699
2022-05-05,STCKA,710.11,714.69,705.65,713.34,515669
2022-05-06,STCKA,720.81,726.78,714.84,715.82,2948713
2022-05-09,STCKA,705.58,717.95,703.12,710.96,1960486
2022-05-10,STCKA,711.05,715.91,709.83,715.0,1461793
2022-05-11,STCKA,722.8,724.44,719.0,720.81,418398
2022-05-12,STCKA,711.54,718.27,706.27,710.53,3647304
2022-05-13,STCKA,700.18,704.51,695.53,698.87,3689547
2022-05-16,STCKA,705.94,710.79,702.23,704.62,4041676
2022-05-17,STCKA,707.63,708.89,700.8,705.48,907502
2022-05-18,STCKA,712.86,721.21,710.46,715.26,4440436
2022-05-19,STCKA,730.1,731.33,720.31,727.45,4037369
2022-05-20,STCKA,736.88,738.21,733.03,738.13,2826329
2022-05-23,STCKA,744.65,754.19,742.67,747.0,1814572
2022-05-24,STCKA,752.98,760.41,750.02,755.98,2538088
2022-05-25,STCKA,747.24,753.22,738.05,744.05,327272
2022-05-26,STCKA,740.4,744.21,737.92,739.22,217709
2022-05-27,STCKA,734.81,737.37,729.73,734.28,4074329
2022-05-30,STCKA,726.19,728.82,722.49,727.45,2309082
2022-05-31,STCKA,729.84,736.56,722.3,727.46,4937739
2022-06-01,STCKA,722.52,724.02,715.59,722.81,3597150
2022-06-02,STCKA,717.13,726.5,711.61,721.13,1338175
2022-06-03,STCKA,734.38,737.28,727.58,735.75,3307554
2022-06-06,STCKA,735.28,742.2,729.3,734.18,1504634
2022-06-07,STCKA,747.58,758.19,742.56,751.25,3289584
2022-06-08,STCKA,751.0,752.59,745.47,751.77,2788175
2022-06-09,STCKA,768.12,775.87,765.05,769.0,1277215
2022-06-10,STCKA,751.81,752.86,750.02,752.55,4417591
2022-06-13,STCKA,774.7,778.81,766.51,771.2,4402273
2022-06-14,STCKA,786.74,793.27,780.94,786.46,3493791
2022-06-15,STCKA,788.07,790.2,777.1,784.51,2056511
2022-06-16,STCKA,755.09,764.65,753.95,757.52,4546552
2022-06-17,STCKA,762.2,769.41,757.7,760.52,2690237
2022-06-20,STCKA,749.29,750.98,742.22,748.42,2637450
2022-06-21,STCKA,751.0,765.42,749.2,760.32,725607
2022-06-22,STCKA,757.73,759.39,748.71,755.46,4185800
2022-06-23,STCKA,753.48,760.11,746.78,752.78,3488349
2022-06-24,STCKA,746.87,749.15,744.63,748.32,3016143
2022-06-27,STCKA,762.91,763.89,754.02,760.33,2212352
2022-06-28,STCKA,762.29,769.04,758.82,759.36,4002647
2022-06-29,STCKA,777.64,780.32,772.19,775.71,3964811
